SMILES,shift_value
CC1C(NC(=O)C2CCOC2)CCCC1C(F)(F)F,-60.07
CC1(C)NC(=O)N(CC2CCCCC2C(F)(F)F)C1=O,-60.11
CC1(C)CN(C(=O)C2CCNCC2C(F)(F)F)CCO1,-60.22
Cl.FC(F)(F)OCC1CCNCC1,-60.24
FC(F)(F)C1=CC(C(F)(F)F)=C(C(F)(F)F)C=C1C(F)(F)F,-60.3
O=C(NC1CCCNC1)NC1CCCCC1C(F)(F)F,-60.44
CC(=O)NC1CC(C)NN1-C1CCCCC1C(F)(F)F,-60.5
O=C(C1CCNCC1C(F)(F)F)N1CCC2(CCC2)C1,-60.5
[H]/C(=C(\[H])C(F)(F)F)C(F)(F)F,-60.6
O=C1NCCN2CNC(C(F)(F)F)C21,-60.63
CN1CC(N)C(C(F)(F)F)N1,-60.66
CNC(=O)[C@@H]1CSCN1C1CCC(C(F)(F)F)CN1,-60.67
CN1C(=O)CNC2CCC(C(F)(F)F)CC21,-60.7
COC1(C)CN(C(=O)NC2CCCCC2C(F)(F)F)C1,-60.71
CCN1NCC(C(=O)N2CC[C@@H](N)C2)C1C(F)(F)F.Cl,-60.84
CC(C)(O)C1CCCN1C1CCC(C(F)(F)F)CN1,-60.85
Cl.FC(F)(F)C1CCC2C(C1)CCN2,-60.9
OC1CCC(NC2NCC(C(F)(F)F)CC2Cl)CC1,-60.9
CN1NCCC1C(F)(F)F,-60.95
CC1C(N2C(=O)CN(C3CC3)C2=O)CCCC1C(F)(F)F,-60.98
O=C1CN(C2CCC(C(F)(F)F)CN2)C2CCCCC2N1,-60.98
OC1CCN(C2CCC(C(F)(F)F)CN2)CC1,-60.98
[H]/C=C(\F)Br,-61.0
FC(F)(F)C1=CNC=C1,-61.0
FC(F)(F)C1=CC2=CC=CC=C2N1,-61.0
FC(F)(F)C1=CSC2=CC=CC=C21,-61.0
CC1(C)CCCN1C(=O)C1NCCCC1C(F)(F)F,-61.0
O=C(NC1CCCCC1C(F)(F)F)N1CCC[C@@H]1CO,-61.01
O=C(NC1CCCCC1C(F)(F)F)N1CCCCN1,-61.05
CN1CC(C(F)(F)F)NN1,-61.06
CCN1NCC(C(=O)O)C1C(F)(F)F,-61.12
CN(C)C(=O)N1CCC(N2CCC(C(F)(F)F)N2)CC1,-61.28
CCOC(=O)C(F)(F)Br,-61.3
CC1C(C(F)(F)F)N[NH]C1CO,-61.3
CC1COC2CCC(C(F)(F)F)CC2N1,-61.31
NC1NC2C(C(F)(F)F)CCCC2S1,-61.32
CC1CN(CC(=O)O)NC1C(F)(F)F,-61.33
CC(=O)N1CCOC2CCC(C(F)(F)F)CC21,-61.35
O=C(O)C1OCNC1C(F)(F)F,-61.36
CC1NC(C(F)(F)F)C(C(=O)O)O1,-61.38
FC(F)(F)C1CCNN1C1CCCNC1,-61.43
FC(F)(F)C1CNC(N2CCOCC2)C(Cl)C1,-61.5
CN1CCC(C(F)(F)F)N1,-61.51
CN1CCN(C(=O)NC2CCC(C(F)(F)F)CC2)CC1,-61.53
CC(C)(O)CN1CC(C(F)(F)F)CC(Cl)C1=O,-61.54
FC(F)(F)C1CC(CN2CCCC2)N[NH]1,-61.54
CC1(CC(F)(F)F)CN(C(=O)NC2CCCCN2)C1,-61.57
[H]C1=C(C(F)(F)F)N=C(C2=CC=C(C)C=C2)S1,-61.6
CC1CCC(NC(=O)N2CC[C@H](O)C2)CC1C(F)(F)F,-61.61
FC(F)(F)C1CCN(CC2CCON2)N1,-61.64
N#CC1(CN2CCC(C(F)(F)F)N2)CCC1,-61.65
O=C1CCN1C1CCC(C(F)(F)F)CC1,-61.68
CN1NC(C(F)(F)F)CC1CO,-61.68
FC(F)(F)F,-61.7
CC1(CC(F)(F)F)CN(C(=O)C2CCNC2=O)C1,-61.7
OC1NCN(-C2CCC(C(F)(F)F)CC2)N1,-61.7
N#CCCN1CCC(C(F)(F)F)N1,-61.71
O=C1[NH]CCN2NC(C(F)(F)F)CC12,-61.71
CC1CC(C(=O)O)C(C(F)(F)F)O1,-61.73
ON1NNC2CCC(C(F)(F)F)CC21,-61.73
Cl.FC(F)(F)C1CC2N(N1)CCNC2,-61.75
CC1=NN(C2CCC(C(F)(F)F)CN2)C(=O)C1,-61.76
FC(F)(F)C1CNC(N2CCCO2)C(Cl)C1,-61.78
CC(C(=O)O)N1CCC(C(F)(F)F)N1,-61.81
O=C(O)C1CCCN2CC(C(F)(F)F)NC21,-61.84
NC(=O)C1(C2CCC(C(F)(F)F)CC2)CC1,-61.86
Cl.NC[C@@H]1C[C@H]1C1CCC(C(F)(F)F)CC1,-61.88
NC1CC(C(F)(F)F)C2CN[NH]C2C1,-61.92
CC(=O)N1CCC(C2CCC(C(F)(F)F)CC2)CC1,-61.92
CC1CC(C(F)(F)F)NN1CCC#N,-61.96
O=C(O)C1CCOC1C(F)(F)F,-61.99
FC(F)(F)C1=CN=CN1,-62.0
FC(F)(F)C1=NC2=CC=CC=C2S1,-62.0
[H]C1=NNC(C(F)(F)F)=C1[H],-62.0
FC(F)(F)C1=CC2=CC=CC=C2C=C1,-62.0
FC(F)(F)C1=CC=CN=C1,-62.0
FC(F)(F)C1=CN=CN=C1,-62.0
[H]C1=NOC(C(F)(F)F)=C1[H],-62.0
C#CC1=CC=C(C(F)(F)F)O1,-62.0
O=C(CC(F)(F)F)C1=CC=CC=C1,-62.0
CC1CCC(C(F)(F)F)CC1NC(=O)C1CCCN1,-62.0
N#CC1CCC(N2CCS(=O)CC2)CC1C(F)(F)F,-62.0
CC1(C(=O)NC2CC(C(F)(F)F)C[NH]C2=O)CCCC1,-62.0
CC1NCC(C(F)(F)F)[NH]1,-62.0
Cl.N[C@H]1CCN(C(=O)C2(C3CCCC(C(F)(F)F)C3)CC2)C1,-62.04
COCC(=O)N1CCSC2CCC(C(F)(F)F)CC21,-62.06
O=C1CCC(C(F)(F)F)CN1CC1CCC2C(C1)OCO2,-62.08
O=C(C1=CCCC1)N1CCN2C(NNC2C(F)(F)F)C1,-62.09
CS(=O)(=O)NC1(C2CCCC(C(F)(F)F)C2)CCC1,-62.13
CC1CCC(NC(=O)[C@H]2CSCN2)CC1C(F)(F)F.Cl,-62.15
O=C(CN1CC(C(F)(F)F)CC(Cl)C1=O)N1CCC1,-62.15
Cl.O=C1CNCCN1CC1CCC(C(F)(F)F)CC1,-62.15
O=S1(=O)CCCN1CC1CCC(C(F)(F)F)CC1,-62.15
N#CC1CCCC(CN2CC(C(F)(F)F)CCC2=O)C1,-62.18
Cl.FC(F)(F)C1CCC(C2=CCNCC2)CC1,-62.19
N#CC1CNN(-C2CCC(C(F)(F)F)CC2)C1N,-62.21
O=C(O)CN1CC(Cl)C(C(F)(F)F)N1,-62.21
CS(=O)(=O)NC1CC(C(F)(F)F)C[NH]C1=O,-62.21
NC(=O)C1CC1C1CCCC(C(F)(F)F)C1,-62.22
O=C(CN1CC(C(F)(F)F)CCC1=O)N1CCOCC1,-62.24
Cl.NC[C@@H]1C[C@H]1C1CCCC(C(F)(F)F)C1,-62.25
O=C(CN1CC(C(F)(F)F)CCC1=O)N1CCNC1=O,-62.26
NC(=O)N1CCNC(=O)C1C1CCC(C(F)(F)F)CC1,-62.26
O=C(NC1NC(C(F)(F)F)C[NH]1)C1CCCO1,-62.27
O=C(C1CCOCC1)N1CCC2C1CCCC2C(F)(F)F,-62.28
CCC(=O)N1CCOC(C2CCC(C(F)(F)F)CC2)C1,-62.28
[H]C1=C(C(F)(F)F)N=C(C2=CC=C(C)C=C2)O1,-62.3
N[C@@H]1CCN(C(=O)C2(C3CCCC(C(F)(F)F)C3)CC2)C1,-62.31
CC1(C)CN(C(=O)CC(F)(F)F)C2CCCCC2O1,-62.33
CC1NNC(CN2CC(C(F)(F)F)CC(Cl)C2=O)O1,-62.33
CC1[NH]NC(C(F)(F)F)C1Cl,-62.35
Cl.NC1(C2CCC(C(F)(F)F)CC2)CCC1,-62.35
CC1NOC(NC(=O)C2CCCC(C(F)(F)F)C2)N1,-62.36
O=C(O)CC1SC2CCC(C(F)(F)F)CC2NC1=O,-62.36
O=C(NC1CCCC(C(F)(F)F)C1)C1CCCNC1,-62.42
